group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,EFNRL-like,20,8,11,16851.00000000,148149.00000000,0.10751515,0.09148485,0.80100000,0.19900000
fig7,EFNRL-like,20,8,12,16273.00000000,148727.00000000,0.10430303,0.08681818,0.80887879,0.19112121
fig7,EFNRL-like,20,8,13,16801.00000000,148199.00000000,0.11054545,0.07784848,0.81160606,0.18839394
fig7,EFNRL-like,20,8,14,16954.00000000,148046.00000000,0.11106061,0.08042424,0.80851515,0.19148485
fig7,EFNRL-like,20,8,15,16238.00000000,148762.00000000,0.10327273,0.08987879,0.80684848,0.19315152
fig7,EFNRL-like,20,8,16,17107.00000000,147893.00000000,0.10933333,0.09196970,0.79869697,0.20130303
fig7,EFNRL-like,20,8,17,16840.00000000,148160.00000000,0.10703030,0.09309091,0.79987879,0.20012121
fig7,EFNRL-like,20,8,18,17213.00000000,147787.00000000,0.11278788,0.08136364,0.80584848,0.19415152
fig7,EFNRL-like,20,8,19,16260.00000000,148740.00000000,0.10496970,0.08375758,0.81127273,0.18872727
fig7,EFNRL-like,20,8,20,16072.00000000,148928.00000000,0.10006061,0.09769697,0.80224242,0.19775758
fig7,GNN-ActorCritic,20,8,1,17466.00000000,147534.00000000,0.11669697,0.07339394,0.80990909,0.19009091
fig7,GNN-ActorCritic,20,8,2,17035.00000000,147965.00000000,0.11045455,0.08530303,0.80424242,0.19575758
fig7,GNN-ActorCritic,20,8,3,17302.00000000,147698.00000000,0.11193939,0.08745455,0.80060606,0.19939394
fig7,GNN-ActorCritic,20,8,4,18400.00000000,146600.00000000,0.12227273,0.07939394,0.79833333,0.20166667
fig7,GNN-ActorCritic,20,8,5,17960.00000000,147040.00000000,0.11745455,0.08533333,0.79721212,0.20278788
fig7,GNN-ActorCritic,20,8,6,16839.00000000,148161.00000000,0.11057576,0.07887879,0.81054545,0.18945455
fig7,GNN-ActorCritic,20,8,7,16935.00000000,148065.00000000,0.11190909,0.07645455,0.81163636,0.18836364
fig7,GNN-ActorCritic,20,8,8,18368.00000000,146632.00000000,0.12142424,0.08181818,0.79675758,0.20324242
fig7,GNN-ActorCritic,20,8,9,17709.00000000,147291.00000000,0.11639394,0.08196970,0.80163636,0.19836364
fig7,GNN-ActorCritic,20,8,10,17859.00000000,147141.00000000,0.11378788,0.09693939,0.78927273,0.21072727
fig7,GNN-ActorCritic,20,8,11,17087.00000000,147913.00000000,0.11184848,0.08130303,0.80684848,0.19315152
fig7,GNN-ActorCritic,20,8,12,17094.00000000,147906.00000000,0.10996970,0.08903030,0.80100000,0.19900000
fig7,GNN-ActorCritic,20,8,13,17336.00000000,147664.00000000,0.11166667,0.08957576,0.79875758,0.20124242
fig7,GNN-ActorCritic,20,8,14,17945.00000000,147055.00000000,0.11857576,0.08039394,0.80103030,0.19896970
fig7,GNN-ActorCritic,20,8,15,17213.00000000,147787.00000000,0.11218182,0.08378788,0.80403030,0.19596970
fig7,GNN-ActorCritic,20,8,16,18574.00000000,146426.00000000,0.11963636,0.09521212,0.78515152,0.21484848
fig7,GNN-ActorCritic,20,8,17,18383.00000000,146617.00000000,0.11924242,0.09100000,0.78975758,0.21024242
fig7,GNN-ActorCritic,20,8,18,18210.00000000,146790.00000000,0.12106061,0.07848485,0.80045455,0.19954545
fig7,GNN-ActorCritic,20,8,19,17429.00000000,147571.00000000,0.11627273,0.07396970,0.80975758,0.19024242
fig7,GNN-ActorCritic,20,8,20,16951.00000000,148049.00000000,0.10760606,0.09415152,0.79824242,0.20175758
fig7,Random,30,8,1,23088.00000000,141912.00000000,0.15439394,0.09296970,0.75263636,0.24736364
fig7,Random,30,8,2,22369.00000000,142631.00000000,0.14648485,0.10281818,0.75069697,0.24930303
fig7,Random,30,8,3,22606.00000000,142394.00000000,0.15012121,0.09545455,0.75442424,0.24557576
fig7,Random,30,8,4,23401.00000000,141599.00000000,0.15421212,0.10318182,0.74260606,0.25739394
